"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Get exercises","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Exercises","",""
"","18","Delete exercise","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Exercises","",""
"","12","Get user me","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Users","",""
"","20","Create exercise","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Exercises","",""
"","273","Create file with empty directory","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","547","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","303","Get courses","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Courses","",""
"","22","Delete file","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Files","",""
"","25","Update exercise","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Exercises","",""
"","17","Get file","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Files","",""
"","523","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","555","Login with correct email and password","LMS Service","2026-06-29","passed","2026-06-29","Login","Authentication","",""
"","32","Create course","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Courses","",""
"","262","Create file with empty filename","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","302","Update courses","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Courses","",""
"","28","Get exercise","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Exercises","",""
"","30","Create file","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Files","",""
"","17","Get file with incorrect file id","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","534","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
