"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","271","Create file with empty directory","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","291","Delete exercise","LMS Service","2026-06-30","passed","2026-06-30","Delete entity","Exercises","",""
"","25","Update exercise","LMS Service","2026-06-30","passed","2026-06-30","Update entity","Exercises","",""
"","545","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
"","302","Get courses","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Courses","",""
"","308","Delete file","LMS Service","2026-06-30","passed","2026-06-30","Delete entity","Files","",""
"","17","Get file with incorrect file id","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","18","Get file","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Files","",""
"","304","Update courses","LMS Service","2026-06-30","passed","2026-06-30","Update entity","Courses","",""
"","285","Create exercise","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Exercises","",""
"","17","Get exercises","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Exercises","",""
"","28","Create file","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Files","",""
"","29","Create file with empty filename","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","29","Create course","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Courses","",""
"","20","Get exercise","LMS Service","2026-06-30","passed","2026-06-30","Get entity","Exercises","",""
"","13","Get user me","LMS Service","2026-06-30","passed","2026-06-30","Get entity","Users","",""
"","288","Login with correct email and password","LMS Service","2026-06-30","passed","2026-06-30","Login","Authentication","",""
"","536","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
"","293","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
