"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","Create file with empty directory","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","24","Get exercise","LMS Service","2026-06-30","passed","2026-06-30","Get entity","Exercises","",""
"","33","Create course","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Courses","",""
"","21","Get exercises","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Exercises","",""
"","557","Login with correct email and password","LMS Service","2026-06-30","passed","2026-06-30","Login","Authentication","",""
"","531","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
"","28","Create file with empty filename","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","13","Get user me","LMS Service","2026-06-30","passed","2026-06-30","Get entity","Users","",""
"","37","Update courses","LMS Service","2026-06-30","passed","2026-06-30","Update entity","Courses","",""
"","24","Update exercise","LMS Service","2026-06-30","passed","2026-06-30","Update entity","Exercises","",""
"","545","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
"","14","Get file","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Files","",""
"","14","Get file with incorrect file id","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","539","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
"","20","Delete file","LMS Service","2026-06-30","passed","2026-06-30","Delete entity","Files","",""
"","33","Get courses","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Courses","",""
"","18","Delete exercise","LMS Service","2026-06-30","passed","2026-06-30","Delete entity","Exercises","",""
"","30","Create file","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Files","",""
"","21","Create exercise","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Exercises","",""
