"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","555","Login with correct email and password","LMS Service","2026-06-30","passed","2026-06-30","Login","Authentication","",""
"","20","Delete file","LMS Service","2026-06-30","passed","2026-06-30","Delete entity","Files","",""
"","37","Create file","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Files","",""
"","22","Get exercises","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Exercises","",""
"","269","Create file with empty directory","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","306","Get courses","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Courses","",""
"","15","Get file with incorrect file id","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","268","Create file with empty filename","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","21","Update exercise","LMS Service","2026-06-30","passed","2026-06-30","Update entity","Exercises","",""
"","288","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
"","25","Create exercise","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Exercises","",""
"","22","Delete exercise","LMS Service","2026-06-30","passed","2026-06-30","Delete entity","Exercises","",""
"","304","Update courses","LMS Service","2026-06-30","passed","2026-06-30","Update entity","Courses","",""
"","303","Get file","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Files","",""
"","541","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
"","30","Create course","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Courses","",""
"","24","Get exercise","LMS Service","2026-06-30","passed","2026-06-30","Get entity","Exercises","",""
"","13","Get user me","LMS Service","2026-06-30","passed","2026-06-30","Get entity","Users","",""
"","556","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
