"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS Service","2026-06-30","passed","2026-06-30","Get entity","Users","",""
"","283","Get exercises","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Exercises","",""
"","22","Get exercise","LMS Service","2026-06-30","passed","2026-06-30","Get entity","Exercises","",""
"","284","Create exercise","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Exercises","",""
"","543","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
"","23","Create file with empty filename","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","16","Delete exercise","LMS Service","2026-06-30","passed","2026-06-30","Delete entity","Exercises","",""
"","24","Update exercise","LMS Service","2026-06-30","passed","2026-06-30","Update entity","Exercises","",""
"","265","Create file with empty directory","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","13","Get file","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Files","",""
"","14","Get file with incorrect file id","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","299","Delete file","LMS Service","2026-06-30","passed","2026-06-30","Delete entity","Files","",""
"","537","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
"","301","Update courses","LMS Service","2026-06-30","passed","2026-06-30","Update entity","Courses","",""
"","553","Login with correct email and password","LMS Service","2026-06-30","passed","2026-06-30","Login","Authentication","",""
"","288","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
"","30","Create course","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Courses","",""
"","29","Create file","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Files","",""
"","296","Get courses","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Courses","",""
