"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get file with incorrect file id","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","288","Update courses","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Courses","",""
"","19","Get exercises","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Exercises","",""
"","17","Delete exercise","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Exercises","",""
"","28","Get courses","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Courses","",""
"","21","Update exercise","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Exercises","",""
"","26","Create course","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Courses","",""
"","22","Create exercise","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Exercises","",""
"","30","Create file","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Files","",""
"","14","Get file","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Files","",""
"","23","Get exercise","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Exercises","",""
"","276","Delete file","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Files","",""
"","523","Login with correct email and password","LMS Service","2026-06-29","passed","2026-06-29","Login","Authentication","",""
"","522","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","272","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","11","Get user me","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Users","",""
"","254","Create file with empty directory","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","521","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","28","Create file with empty filename","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
