"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get user me","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Users","",""
"","37","Get courses","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Courses","",""
"","40","Create file","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Files","",""
"","14","Get file with incorrect file id","LMS Service","2026-06-29","broken","2026-06-29","Validate entity","Files","",""
"","34","Update exercise","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Exercises","",""
"","280","Create file with empty directory","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","568","Login with correct email and password","LMS Service","2026-06-29","passed","2026-06-29","Login","Authentication","",""
"","25","Delete file","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Files","",""
"","526","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","500","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","46","Create course","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Courses","",""
"","34","Get exercise","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Exercises","",""
"","30","Get exercises","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Exercises","",""
"","49","Update courses","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Courses","",""
"","270","Create file with empty filename","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","30","Create exercise","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Exercises","",""
"","21","Get file","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Files","",""
"","23","Delete exercise","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Exercises","",""
"","542","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
