"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","Create file with empty filename","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","33","Update exercise","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Exercises","",""
"","29","Delete exercise","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Exercises","",""
"","511","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","27","Delete file","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Files","",""
"","503","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","564","Login with correct email and password","LMS Service","2026-06-29","passed","2026-06-29","Login","Authentication","",""
"","19","Get file","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Files","",""
"","37","Get exercise","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Exercises","",""
"","11","Get file with incorrect file id","LMS Service","2026-06-29","broken","2026-06-29","Validate entity","Files","",""
"","14","Get user me","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Users","",""
"","45","Update courses","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Courses","",""
"","541","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","24","Get exercises","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Exercises","",""
"","277","Create file with empty directory","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","39","Get courses","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Courses","",""
"","31","Create exercise","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Exercises","",""
"","41","Create file","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Files","",""
"","42","Create course","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Courses","",""
