"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS Service","2026-06-30","passed","2026-06-30","Get entity","Users","",""
"","29","Create course","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Courses","",""
"","22","Get exercise","LMS Service","2026-06-30","passed","2026-06-30","Get entity","Exercises","",""
"","22","Get exercises","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Exercises","",""
"","15","Get file with incorrect file id","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","29","Create file","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Files","",""
"","553","Login with correct email and password","LMS Service","2026-06-30","passed","2026-06-30","Login","Authentication","",""
"","273","Create file with empty directory","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","21","Update exercise","LMS Service","2026-06-30","passed","2026-06-30","Update entity","Exercises","",""
"","28","Get courses","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Courses","",""
"","23","Create exercise","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Exercises","",""
"","270","Create file with empty filename","LMS Service","2026-06-30","passed","2026-06-30","Validate entity","Files","",""
"","556","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
"","16","Get file","LMS Service","2026-06-30","passed","2026-06-30","Get entities","Files","",""
"","551","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
"","286","Create user","LMS Service","2026-06-30","passed","2026-06-30","Create entity","Users","",""
"","293","Delete file","LMS Service","2026-06-30","passed","2026-06-30","Delete entity","Files","",""
"","16","Delete exercise","LMS Service","2026-06-30","passed","2026-06-30","Delete entity","Exercises","",""
"","34","Update courses","LMS Service","2026-06-30","passed","2026-06-30","Update entity","Courses","",""
