"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","561","Login with correct email and password","LMS Service","2026-06-29","passed","2026-06-29","Login","Authentication","",""
"","498","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","19","Get file","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Files","",""
"","534","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","45","Update courses","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Courses","",""
"","34","Create file with empty filename","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","35","Get exercise","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Exercises","",""
"","308","Delete file","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Files","",""
"","270","Create file with empty directory","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","34","Update exercise","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Exercises","",""
"","26","Get exercises","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Exercises","",""
"","15","Get user me","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Users","",""
"","15","Get file with incorrect file id","LMS Service","2026-06-29","failed","2026-06-29","Validate entity","Files","",""
"","35","Get courses","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Courses","",""
"","24","Delete exercise","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Exercises","",""
"","38","Create exercise","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Exercises","",""
"","297","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","40","Create file","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Files","",""
"","42","Create course","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Courses","",""
