"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","265","Create file with empty directory","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","295","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","20","Get file with incorrect file id","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","292","Create exercise","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Exercises","",""
"","561","Login with correct email and password","LMS Service","2026-06-29","passed","2026-06-29","Login","Authentication","",""
"","13","Get user me","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Users","",""
"","545","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","313","Get courses","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Courses","",""
"","37","Update exercise","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Exercises","",""
"","33","Create file with empty filename","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","18","Get file","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Files","",""
"","40","Create course","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Courses","",""
"","546","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","291","Get exercises","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Exercises","",""
"","31","Create file","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Files","",""
"","299","Get exercise","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Exercises","",""
"","313","Update courses","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Courses","",""
"","312","Delete file","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Files","",""
"","293","Delete exercise","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Exercises","",""
