"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","613","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","25","Delete exercise","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Exercises","",""
"","567","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","630","Login with correct email and password","LMS Service","2026-06-29","passed","2026-06-29","Login","Authentication","",""
"","26","Delete file","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Files","",""
"","39","Update courses","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Courses","",""
"","19","Get file","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Files","",""
"","298","Create file with empty filename","LMS Service","2026-06-29","failed","2026-06-29","Validate entity","Files","",""
"","30","Update exercise","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Exercises","",""
"","31","Create exercise","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Exercises","",""
"","13","Get user me","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Users","",""
"","14","Get file with incorrect file id","LMS Service","2026-06-29","failed","2026-06-29","Validate entity","Files","",""
"","41","Create file","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Files","",""
"","27","Create file with empty directory","LMS Service","2026-06-29","failed","2026-06-29","Validate entity","Files","",""
"","595","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","36","Create course","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Courses","",""
"","29","Get exercise","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Exercises","",""
"","34","Get courses","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Courses","",""
"","27","Get exercises","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Exercises","",""
